model,best_cv_score,best_params,roc_auc,pr_auc,accuracy,precision,recall,f1,best_threshold,valid_threshold_precision,valid_threshold_recall,valid_threshold_f1,valid_threshold_f2,valid_threshold_accuracy,threshold_precision,threshold_recall,threshold_f1,threshold_f2,threshold_accuracy
gradient_boosting,0.7531905668656903,"{'learning_rate': 0.07176693316627357, 'max_depth': 3, 'max_leaf_nodes': 63, 'min_samples_leaf': 24, 'l2_regularization': 0.9747146484856513, 'max_iter': 350}",0.7523422277781109,0.23585148445422735,0.919760011706746,0.625,0.015105740181268883,0.029498525073746312,0.09999999999999999,0.1892249527410208,0.6048338368580061,0.2882649388048956,0.4202350965575147,0.7588858898897597,0.18438287153652394,0.5897280966767372,0.2809306788198609,0.40962506994963627,0.7562883111392941
logistic_regression,0.7423035779823012,"{'C': 6.32044704876328, 'class_weight': 'balanced'}",0.7406251129942567,0.21469530692380184,0.6867632473212689,0.15805834528933524,0.6656596173212488,0.2554589371980676,0.48000000000000004,0.15499345835150458,0.7158106747230615,0.25481269044631655,0.4152839448469269,0.6620109915124711,0.15139843305466802,0.6966767371601208,0.248741550409895,0.4049687404875079,0.6602767344682373
random_forest,0.7423148483661057,"{'n_estimators': 350, 'max_depth': 10, 'min_samples_split': 21, 'min_samples_leaf': 9, 'max_features': 'log2', 'class_weight': None}",0.7398404452519649,0.2196664434554814,0.9192722306228964,0.0,0.0,0.0,0.09999999999999999,0.18663369558144075,0.5776435045317221,0.28211686012197523,0.4070741192835041,0.7626743845728594,0.18003913894324852,0.5558912386706949,0.2719881744271988,0.39215686274509803,0.7597678162040876
decision_tree,0.704536629914065,"{'max_depth': 5, 'min_samples_split': 91, 'min_samples_leaf': 12, 'class_weight': 'balanced'}",0.7061702265000713,0.17065439868476068,0.7129570915239907,0.15453307922679008,0.5716012084592145,0.2432918988426918,0.5,0.15956467594347284,0.5935548841893252,0.2515148928906717,0.3844347621905085,0.7148060225683718,0.15453307922679008,0.5716012084592145,0.2432918988426918,0.3712230215827338,0.7129570915239907
